股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430090,同辉信息,2022-02-22,7.69,8.0,7.45,7.69,7.96,3046325.0,23289766.0,683735148.6700001,1179134591.93,-0.0339195979899497,7.690000000000003,7.690000000000003,8.000000000000002,7.450000000000003
bj430090,同辉信息,2022-02-23,7.7,7.73,7.37,7.58,7.69,3300638.0,24734775.0,704528822.9,1162267907.26,-0.014304291287386306,7.580000000000003,7.700000000000003,7.730000000000004,7.370000000000003
bj430090,同辉信息,2022-02-24,7.5,7.5,6.78,7.03,7.58,6120440.0,43487621.0,653408657.65,1077934483.91,-0.07255936675461738,7.030000000000003,7.500000000000003,7.500000000000003,6.780000000000003
bj430090,同辉信息,2022-02-25,7.17,7.19,6.86,6.9,7.03,2597317.0,18098809.0,641325709.5,1058001129.3,-0.01849217638691325,6.900000000000002,7.170000000000003,7.190000000000002,6.860000000000002
bj430090,同辉信息,2022-02-28,6.92,7.01,6.68,6.7,6.9,2456932.0,16602998.0,622736558.5,1027334429.9,-0.02898550724637683,6.700000000000002,6.920000000000002,7.010000000000002,6.6800000000000015
bj430090,同辉信息,2022-03-01,6.8,7.04,6.7,6.86,6.7,2121660.0,14612360.0,637607879.3,1051867789.42,0.023880597014925398,6.860000000000002,6.800000000000002,7.040000000000002,6.700000000000002
bj430090,同辉信息,2022-03-02,6.84,6.98,6.73,6.91,6.86,1641616.0,11287332.0,642255167.0500001,1059534464.27,0.007288629737609353,6.910000000000002,6.840000000000002,6.980000000000002,6.730000000000002
bj430090,同辉信息,2022-03-03,7.0,7.22,6.95,7.16,6.91,3003014.0,21465013.0,665491605.8,1097867838.52,0.0361794500723589,7.160000000000002,7.000000000000002,7.220000000000001,6.950000000000002
bj430090,同辉信息,2022-03-04,7.17,7.6,7.03,7.42,7.16,4682694.0,34638721.0,689657502.1,1137734547.74,0.03631284916201105,7.420000000000001,7.170000000000001,7.6,7.030000000000001
bj430090,同辉信息,2022-03-07,7.4,7.56,6.98,7.07,7.42,2611027.0,18857127.0,657126487.85,1084067823.79,-0.047169811320754707,7.070000000000001,7.400000000000001,7.5600000000000005,6.980000000000001
bj430090,同辉信息,2022-03-08,6.96,7.08,6.71,6.79,7.07,2572796.0,17602208.0,631101676.45,1041134444.63,-0.03960396039603964,6.790000000000001,6.96,7.080000000000002,6.710000000000001
bj430090,同辉信息,2022-03-09,6.89,6.89,6.3,6.6,6.79,2463513.0,16224104.0,613441983.0,1012001080.2,-0.027982326951399128,6.6000000000000005,6.890000000000001,6.890000000000001,6.300000000000001
bj430090,同辉信息,2022-03-10,6.84,6.84,6.68,6.73,6.6,1571798.0,10486728.0,625524931.15,1031934434.81,0.01969696969696977,6.730000000000001,6.840000000000001,6.840000000000001,6.680000000000001
bj430090,同辉信息,2022-03-11,6.7,6.76,6.4,6.75,6.73,2295712.0,15019974.0,627383846.25,1035001104.75,0.002971768202080227,6.750000000000002,6.700000000000002,6.760000000000002,6.400000000000002
bj430090,同辉信息,2022-03-14,6.75,6.75,6.36,6.36,6.75,2652589.0,17109572.0,591135001.8000001,975201040.92,-0.057777777777777706,6.360000000000002,6.750000000000003,6.750000000000003,6.360000000000002
bj430090,同辉信息,2022-03-15,6.38,6.38,5.71,5.78,6.36,3179714.0,19036891.0,537226463.9,886267612.66,-0.0911949685534591,5.780000000000002,6.380000000000003,6.380000000000003,5.710000000000002
bj430090,同辉信息,2022-03-16,5.87,6.05,5.72,6.05,5.78,2156846.0,12755319.0,562321817.75,927667656.85,0.04671280276816603,6.050000000000002,5.870000000000002,6.050000000000002,5.7200000000000015
bj430090,同辉信息,2022-03-17,6.13,6.85,6.11,6.47,6.05,5172961.0,33889943.0,601359034.85,992067725.59,0.06942148760330569,6.4700000000000015,6.130000000000002,6.850000000000002,6.110000000000002
bj430090,同辉信息,2022-03-18,6.52,6.85,6.4,6.64,6.47,2802261.0,18565297.0,617159813.2,1018134420.08,0.026275115919629055,6.6400000000000015,6.520000000000001,6.850000000000001,6.400000000000002
bj430090,同辉信息,2022-03-21,6.69,6.8,6.48,6.55,6.64,2135331.0,14111910.0,608794695.25,1004334405.35,-0.013554216867469826,6.5500000000000025,6.690000000000003,6.8000000000000025,6.480000000000003
bj430090,同辉信息,2022-03-22,6.61,6.67,6.38,6.47,6.55,1577747.0,10288955.0,601359034.85,992067725.59,-0.012213740458015265,6.470000000000002,6.610000000000002,6.670000000000003,6.380000000000003
bj430090,同辉信息,2022-03-23,6.31,6.52,6.3,6.33,6.47,1592476.0,10176185.0,588346629.15,970601036.01,-0.021638330757341562,6.330000000000003,6.310000000000002,6.520000000000002,6.3000000000000025
bj430090,同辉信息,2022-03-24,6.31,6.37,6.05,6.06,6.33,2091714.0,12809582.0,563251275.3,929200991.82,-0.042654028436019065,6.060000000000001,6.310000000000002,6.370000000000002,6.050000000000002
bj430090,同辉信息,2022-03-25,6.07,6.38,6.06,6.08,6.06,1319376.0,8128082.0,565110190.4,932267661.76,0.0033003300330034513,6.080000000000003,6.070000000000003,6.3800000000000034,6.060000000000002
bj430090,同辉信息,2022-03-28,6.17,6.18,6.03,6.09,6.08,1471148.0,8958795.0,566039647.95,933800996.73,0.00164473684210531,6.0900000000000025,6.170000000000003,6.1800000000000015,6.030000000000003
bj430090,同辉信息,2022-03-29,6.16,6.17,5.93,5.96,6.09,1341704.0,8100317.0,553956699.8,913867642.12,-0.021346469622331665,5.9600000000000035,6.160000000000004,6.170000000000004,5.930000000000003
bj430090,同辉信息,2022-03-30,5.96,6.07,5.95,6.0,5.96,1388233.0,8329704.0,557674530.0,920000982.0,0.006711409395973256,6.000000000000004,5.960000000000004,6.070000000000005,5.950000000000005
bj430090,同辉信息,2022-03-31,5.96,6.1,5.8,5.96,6.0,2295492.0,13574727.0,553956699.8,913867642.12,-0.00666666666666671,5.960000000000004,5.960000000000004,6.100000000000004,5.800000000000004
bj430090,同辉信息,2022-04-01,5.9,6.3,5.83,6.19,5.96,2584151.0,15896982.0,575334223.45,949134346.43,0.038590604026845776,6.190000000000006,5.900000000000006,6.300000000000004,5.8300000000000045
bj430090,同辉信息,2022-04-06,6.19,6.27,5.99,6.06,6.19,2127600.0,12950922.0,563251275.3,929200991.82,-0.021001615508885463,6.060000000000005,6.190000000000006,6.270000000000005,5.9900000000000055
bj430090,同辉信息,2022-04-07,5.93,6.04,5.86,5.87,6.06,1316968.0,7786018.0,545591581.85,900067627.39,-0.03135313531353123,5.870000000000005,5.930000000000006,6.040000000000005,5.860000000000006
bj430090,同辉信息,2022-04-08,5.96,5.96,5.74,5.74,5.87,1099210.0,6357645.0,533508633.7,880134272.78,-0.022146507666098825,5.740000000000005,5.960000000000004,5.960000000000004,5.740000000000005
bj430090,同辉信息,2022-04-11,5.83,5.87,5.5,5.55,5.74,918618.0,5181796.0,515848940.25,851000908.3499999,-0.03310104529616731,5.550000000000004,5.830000000000005,5.8700000000000045,5.500000000000004
bj430090,同辉信息,2022-04-12,5.56,5.79,5.55,5.68,5.55,649558.0,3669047.0,527931888.4,870934262.96,0.023423423423423406,5.680000000000004,5.560000000000004,5.790000000000005,5.550000000000004
bj430090,同辉信息,2022-04-13,5.69,5.7,5.48,5.52,5.68,1207395.0,6743457.0,513060567.6,846400903.4399999,-0.028169014084507116,5.520000000000004,5.690000000000006,5.700000000000005,5.480000000000005
bj430090,同辉信息,2022-04-14,5.52,5.66,5.52,5.54,5.52,852207.0,4758416.0,514919482.7,849467573.38,0.0036231884057971175,5.540000000000004,5.520000000000003,5.660000000000005,5.520000000000003
bj430090,同辉信息,2022-04-15,5.48,5.57,5.35,5.42,5.54,1125148.0,6074215.0,503765992.1,831067553.74,-0.02166064981949456,5.420000000000004,5.480000000000005,5.570000000000004,5.350000000000004
bj430090,同辉信息,2022-04-18,5.32,5.45,5.32,5.44,5.42,708759.0,3823939.0,505624907.2,834134223.68,0.0036900369003691758,5.440000000000005,5.320000000000005,5.450000000000005,5.320000000000005
bj430090,同辉信息,2022-04-19,5.47,5.47,5.0,5.29,5.44,946576.0,5037349.0,491683043.95,811134199.13,-0.02757352941176472,5.2900000000000045,5.470000000000004,5.470000000000004,5.000000000000004
bj430090,同辉信息,2022-04-20,5.45,5.58,5.33,5.34,5.29,1493481.0,8161240.0,496330331.7000001,818800873.98,0.009451795841209698,5.340000000000004,5.4500000000000055,5.580000000000005,5.3300000000000045
bj430090,同辉信息,2022-04-21,5.35,5.36,5.08,5.12,5.34,1100806.0,5723415.0,475882265.6,785067504.64,-0.041198501872659166,5.120000000000004,5.350000000000004,5.360000000000004,5.080000000000004
bj430090,同辉信息,2022-04-22,5.06,5.21,5.02,5.08,5.12,745380.0,3823106.0,472164435.4,778934164.76,-0.0078125,5.0800000000000045,5.060000000000004,5.210000000000004,5.020000000000004
bj430090,同辉信息,2022-04-25,4.95,5.04,4.78,4.8,5.08,1625974.0,7999064.0,446139624.0,736000785.5999999,-0.055118110236220486,4.800000000000004,4.950000000000005,5.0400000000000045,4.780000000000005
bj430090,同辉信息,2022-04-26,4.83,4.92,4.52,4.54,4.8,859597.0,4066610.0,421973727.7,696134076.38,-0.054166666666666585,4.5400000000000045,4.8300000000000045,4.920000000000004,4.520000000000004
